DrugGEN_MOL_ID,DOCKING_SCORE
MOL_02_026271,-8.231
MOL_01_031851,-8.231
MOL_01_030059,-8.231
MOL_02_013392,-8.23
MOL_01_028463,-8.23
MOL_02_007046,-8.229
MOL_02_009358,-8.229
MOL_02_032286,-8.227
MOL_02_006278,-8.227
MOL_02_031237,-8.226
MOL_01_031958,-8.226
MOL_02_031852,-8.226
MOL_02_009688,-8.225
MOL_02_006523,-8.225
MOL_02_021798,-8.223
MOL_02_009218,-8.222
MOL_02_001276,-8.221
MOL_01_030939,-8.221
MOL_02_029562,-8.22
MOL_02_004354,-8.218
MOL_02_035058,-8.218
MOL_02_009630,-8.218
MOL_01_026680,-8.218
MOL_01_026025,-8.218
MOL_01_029025,-8.216
MOL_02_029864,-8.216
MOL_01_032899,-8.215
MOL_01_031544,-8.215
MOL_01_026990,-8.211
MOL_02_019670,-8.211
MOL_02_012062,-8.211
MOL_02_002930,-8.21
MOL_01_026842,-8.209
MOL_01_030154,-8.208
MOL_02_036127,-8.208
MOL_01_026964,-8.207
MOL_01_031136,-8.207
MOL_02_020165,-8.207
MOL_01_026226,-8.206
MOL_02_011443,-8.203
MOL_01_030015,-8.203
MOL_02_034456,-8.202
MOL_01_022430,-8.202
MOL_02_009351,-8.202
MOL_01_030960,-8.201
MOL_02_027560,-8.2
MOL_02_021869,-8.2
MOL_02_037084,-8.199
MOL_02_019179,-8.199
MOL_02_004129,-8.198
MOL_02_033406,-8.197
MOL_02_001971,-8.196
MOL_01_024575,-8.194
MOL_02_031712,-8.194
MOL_02_022209,-8.194
MOL_02_037484,-8.194
MOL_02_012628,-8.193
MOL_02_009515,-8.193
MOL_01_030618,-8.19
MOL_02_030129,-8.19
MOL_02_002646,-8.188
MOL_02_009407,-8.188
MOL_02_001046,-8.186
MOL_02_023222,-8.185
MOL_02_005604,-8.185
MOL_01_030564,-8.184
MOL_02_012622,-8.184
MOL_01_028516,-8.183
MOL_01_031898,-8.183
MOL_01_031129,-8.181
MOL_02_008846,-8.181
MOL_02_009219,-8.18
MOL_02_037619,-8.179
MOL_02_031117,-8.178
MOL_01_030965,-8.177
MOL_02_008243,-8.175
MOL_02_030880,-8.174
MOL_02_005765,-8.173
MOL_02_031483,-8.17
MOL_02_000580,-8.17
MOL_02_017395,-8.17
MOL_02_006909,-8.169
MOL_02_012862,-8.169
MOL_01_028142,-8.169
MOL_01_032908,-8.168
MOL_02_020010,-8.168
MOL_02_003421,-8.167
MOL_02_002039,-8.166
MOL_02_009907,-8.166
MOL_01_029806,-8.165
MOL_02_016884,-8.165
MOL_02_034328,-8.165
MOL_01_027072,-8.164
MOL_01_031756,-8.163
MOL_02_003225,-8.163
MOL_02_021988,-8.163
MOL_02_009096,-8.161
MOL_02_031367,-8.161
MOL_02_019247,-8.16
MOL_01_028695,-8.16
MOL_02_013546,-8.159
MOL_02_019259,-8.158
MOL_02_017292,-8.158
MOL_02_004713,-8.158
MOL_02_036628,-8.158
