CHEMBL_ID,SMILES,DOCKING_SCORE
CHEMBL2159119,Cc1cc(C(N)=O)cc(C)c1C[C@H]([NH3+])C(=O)N(Cc1ccccc1)[C@@H](C)c1ncc(-c2ccccc2)[nH]1,-7.527
CHEMBL1184547,[NH3+]CCC[C@@H]([NH3+])C(=O)N[C@H](CCc1ccccc1)[C@H](O)c1nc2ccccc2s1,-7.526
CHEMBL355096,[NH3+]CCC[C@@H]([NH3+])C(=O)N[C@H](CCc1ccccc1)[C@H](O)c1nc2ccccc2s1,-7.526
CHEMBL1197350,CC(C)n1cnc2c(NCc3ccc(-c4cccc(F)c4)nc3)nc(N[C@H]3CC[C@H]([NH3+])CC3)nc21,-7.521
CHEMBL3949181,C=C(C)CNc1nc2c(-c3cc4c([nH]3)CCNC4=O)cccc2nc1C,-7.516
CHEMBL3689485,c1cc(N[C@@H]2CC[N@@H+](Cc3ccc(SC4CC4)cc3)C2)c2ccncc2c1,-7.515
CHEMBL445272,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@H]2OC(=O)/C=C/c2ccc(O)cc2)[C@H](O)[C@H](O)[C@H]1O,-7.506
CHEMBL3358559,Cc1cc(=O)oc2cc(OCCCOc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)ccc12,-7.503
CHEMBL3678168,O=C(Nc1cc[nH]c(=O)c1)c1ccc(C(F)(F)F)cc1Oc1ccc(F)cc1,-7.488
CHEMBL1171957,C[NH+](C)CCCn1ccc2c1C(=O)c1ccncc1C2=O,-7.486
CHEMBL2165062,N#Cc1ccc2ccc(=O)n(CC[NH+]3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2c1,-7.483
CHEMBL7132,C[C@@H]([NH3+])Cc1c2ccoc2c(C(F)(F)F)c2ccoc12,-7.482
CHEMBL1187711,CNS(=O)(=O)c1cccc(CCCCOCCCCCC[NH2+]C[C@H](O)c2ccc(O)c(CO)c2)c1,-7.48
CHEMBL1995164,CC(=O)c1cccc(NC(=O)C(=O)Nn2c(N)nnc2N)c1,-7.48
CHEMBL2012235,COc1ccc(-c2nc(C(=O)NCc3ccc(F)cc3F)c([C@@H]([NH3+])C(C)C)o2)c2ccc(C(F)(F)F)nc12,-7.474
CHEMBL40987,COc1cc(C[NH+](CCO)CCO)cc2c1C(=O)c1c(O)cccc1C2=O,-7.472
